Year Published,Title,Authors ,Primary Focal Area,Secondary Focal Area(s),Journal,Link/DOI
1925,"On the Feeding Reactions and Digestion in the Coral Polyp Astrangia danæ, with Notes on Its Symbiosis with Zoöxanthellæ",Boschma,Life History,,Biological Bulletin,https://doi.org/10.2307/1536652
1947,On the occurrence of ecotoconsortes on marine animals at Beaufort NC,Pearse,Habitat,,The Journal of Parasitology,https://www.jstor.org/stable/3273324
1967,Attached epifanuna-substrate relations,Driscoll,Habitat,,Limnology and Oceanography,https://doi.org/10.4319/lo.1967.12.4.0633
1976,The form and function of cnidarian spirocysts,Mariscal et al. ,Life History,,Cell and Tissue Research,https://doi.org/10.1007/BF00215997
1977,"Intracellular Crystal-Bearing Vesicles in the Epidermis of Scleractinian Corals, Astrangia danae (Agassiz) and Porites porites (Pallas)",Hayes & Goreau,Life History,,Biological Bulletin,10.2307/1540724
1980,"Experimental ecology of the temperate scleractinian coral Astrangia danae: I. Partition of respiration, photosynthesis and calcification between host and symbionts ",Jacques & Pilson ,Life History,Symbiosis,Marine Biology,https://doi.org/10.1007/BF00389160
1980,The effects of feeding frequency and symbiosis with zooxanthellae on the biochemical composition of Astrangia,Szmant-Froelich & Pilson,Symbiosis,Life History,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/0022-0981(80)90009-X
1980,Gametogenesis and early development of the temperate coral Astrangia danae (Anthozoa: Scleractinia),"Szmant-Froelich, Yevich, & Pilson",Life History,,Biological Bulletin,
1981,Coral nutrition: comparison of fate of C14 from ingested labeled brine shrimp and from uptake of NaH14CO3 by its zooxanthellae,Szmant-Froelich,Life History,,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/0022-0981(81)90107-6
1982,Stable carbon isotope ratios in Astrangia danae: evidence for algal modification of carbon pools used in calcification,Cummings & McCarty,Symbiosis,,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/0016-7037(82)90064-3
1983,"Experimental ecology of the temperate scleractinian coral Astrangia danae: II. Effect of temperature, light intensity and symbiosis with zooxanthellae on metabolic rate and calcification","Jacques, Marshall, & Pilson ",Life History,Habitat; Symbiosis,Marine Biology,https://doi.org/10.1007/BF00392730
1984,Effects of feeding frequency and symbiosis with zooxanthellae on nitrogen metabolism and respiration of the coral Astrangia danae,Szmant-Froelich & Pilson,Life History,,Marine Biology,https://doi.org/10.1007/BF00393114
1985,A comparative study of the effects of sedimentation on symbiotic and asymbiotic colonies of the coral Astrangia danae,Peters & Pilson,Symbiosis,Life History ,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/0022-0981(85)90096-6
1985,"Epifaunal settlement, the processes of community development and succession over two years on an artificial reef in NY Bight ",Woodhead & Jacobson,Habitat,,Bulletin of Marine Science,
1988,"Nomenclature and biology of Astrangia poculata (=A. danae, =A. astreiformis) (Cnidaria: Anthozoa)",Peters et al. ,Life History,Range; Habitat; Symbiosis,Proceedings of the Biological Society of Washington,
1990,Nitrogen excretion and O:N ratios in reef corals: evidence for conservation of nitrogen,Szmant et al. ,Life History,,Marine Biology,https://doi.org/10.1007/BF01313165
1997,Biosynthesis of ‘essential’ amino acids by scleractinian corals,Fitzgerald & Szmant,Life History,,Biochemical Journal,https://doi.org/10.1042/bj3220213
2002,The effect of algal symbionts on the accuracy of Sr/Ca paleotemperatures from coral,Cohen et al.,Symbiosis,,Science,https://doi.org/10.1126/science.1069330
2007,Paleoenvironmentally correlated differences in a classic predator-prey system: the bivalve Chione elevata and its gastropod predators,Daley et al. ,Habitat,,Palaios,10.2110/palo.2005.p05-057r
2007,Temporal variation in the symbiosis and growth of the temperate scleractinian coral Astrangia poculata,Dimond & Carrington,Range,,Marine Ecology Progress Series,10.3354/meps07050
2008,Symbiosis regulation in a facultatively symbiotic temperate coral: zooxanthellae division and expulsion,Dimond & Carrington,Symbiosis,,Coral Reefs,https://doi.org/10.1007/s00338-008-0363-x
2008,Correspondence between cold tolerance and temperate biogeography in a western Atlantic Symbiodinium (Dinophyta) lineage,Thornhill et al. ,Symbiosis,,Journal of Phycology,https://doi.org/10.1111/j.1529-8817.2008.00567.x
2010,Long-term effects of nutrient and CO 2 enrichment on the temperate coral As-trangia poculata,"Holcomb, McCorkle, & Cohen",Life History,,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/j.jembe.2010.02.007
2011,A physicochemical framework for interpreting the biological calcification response to CO2 induced OA,Ries,Life History,,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2011.04.025
2012,"An investigation of the calcification response of the scleractinian coral Astrangia poculata to elevated pCO2 and the effects of nutrients, zooxanthellae and gender","Holcomb, Cohen, & McCorkle",Life History,Symbiosis,Biogeosciences,doi:10.5194/bg-9-29-2012
2012,"A genetics-based description of Symbiodinium minutum sp. nov. and S. psygmophilum sp. nov. (Dinophyceae), two dinoflagellates symbiotic with Cnidaria ","LaJeunesse, Parkinson, & Reimer",Symbiosis,,Journal of Phycology,https://doi.org/10.1111/j.1529-8817.2012.01217.x
2013,A simple temperature-based model predicts the upper latitudinal limit of the temperate coral Astrangia poculata,Dimond et al. ,Range,Habitat,Coral Reefs,https://doi.org/10.1007/s00338-012-0983-z
2013,The influence of temperature and vital effects on magnesium isotope variability in Porites and Astrangia corals,Saenger et al. ,Life History,,Chemical Geology,https://doi.org/10.1016/j.chemgeo.2013.09.017
2014,Loss of an erect sponge on a rock reef in Long Island Sound (NW Atlantic),Stefaniak et al. ,Habitat,,Marine Biodiversity Records,doi:10.1017/S1755267214001109
2015,"Presence of northern star coral as an epibiont on the carapace of nesting loggerhead turtle in western Gulf of Mexico, USA",Perrault et al. ,Range,Habitat,Reef Encounter: The News Journal for the International Society for Reef Studies,https://www.researchgate.net/publication/274566320_Presence_of_the_northern_star_coral_Astrangia_poculata_as_an_epibiont_on_the_carapace_of_a_nesting_loggerhead_turtle_Caretta_caretta_in_the_western_Gulf_of_Mexico_USA
2016,"Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata",DeFilippi et al. ,Symbiosis,,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/j.jembe.2016.03.016
2016,Coral calcification under environmental change: a direct comparison of the alkalinity anomaly and buoyant weight techniques,Schoepf et al. ,Life History,,Coral Reefs,https://doi.org/10.1007/s00338-016-1507-z
2017,Chemoreception drives plastic consumption in a hard coral,Allen et al. ,Life History,,Marine Pollution Bulletin,https://doi.org/10.1016/j.marpolbul.2017.07.030
2017,"Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic temperate corals",Burmester et al. ,Symbiosis,,Marine Ecology Progress Series,https://doi.org/10.3354/meps12114
2017,"Winter Quiescence, Growth Rate, and the Release from Competition in the Temperate Scleractinian Coral Astrangia poculata (Ellis & Solander 1786)",Grace,Habitat,Life History ,Northeastern Naturalist ,https://doi.org/10.1656/045.024.s715
2017,"Season, but not symbiont state, drives microbiome structure in the temperate coral Astrangia poculata",Sharp et al. ,Microbiome,,Microbiome,https://doi.org/10.1186/s40168-017-0329-8
2018,The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recovery in corals,Burmester et al. ,Symbiosis,Life History ,Ecology and Evolution,https://doi.org/10.1002/ece3.4531
2018,"Northern star coral found growing on spider crab in Long Island Sound, USA",Grace & Patrizzi,Habitat,,Ecology,https://doi.org/10.1002/ecy.2405
